,id_target,disposition,period,duration
3,TIC 176942156,CANDIDATE,2.30183,1.9008
4,TIC 176942156,CANDIDATE,2.302368,
5,TIC 380166702,CANDIDATE,1.1947488,1.93
6,TIC 96244568,CANDIDATE,6.17887,2.5008
7,TIC 96244568,CANDIDATE,6.178369,
8,TIC 49427200,CANDIDATE,1.17589,1.248
9,TIC 173145687,CANDIDATE,10.6966,3.24
10,TIC 49504409,CANDIDATE,1.5374115,2.3808
11,TIC 56754094,CANDIDATE,2.71189,3.1008
12,TIC 96199085,CANDIDATE,18.10549,
14,TIC 443616789,CANDIDATE,79.9999,11.7504
15,TIC 443616789,CANDIDATE,,14.472
16,TIC 349458175,CANDIDATE,17.77297,2.8992
17,TIC 173109451,CANDIDATE,0.99656225,2.26
18,TIC 62965118,CANDIDATE,14.9139,3.264
19,TIC 62965118,CANDIDATE,14.912381,3.03
20,TIC 49429059,CANDIDATE,0.57303573,0.32
23,TIC 35019000,CANDIDATE,7.90417,1.92
24,TIC 35019000,CANDIDATE,7.9069606,1.73
25,TIC 173163938,CANDIDATE,1.0829614,1.22
26,TIC 173147407,CANDIDATE,0.905655,1.488
27,TIC 173147407,CANDIDATE,0.90552205,1.32
28,TIC 78312435,CANDIDATE,2.75421,1.32
29,TIC 78312435,CANDIDATE,2.75391,1.0296
30,TIC 78312435,CANDIDATE,2.7541129,1.24
33,TIC 421194234,CANDIDATE,10.50439,3.384
34,TIC 38132622,CANDIDATE,1.684208,1.3224
35,TIC 38086751,CANDIDATE,0.2122013,0.624
36,TIC 38086751,CANDIDATE,0.212194,
37,TIC 38086751,CANDIDATE,0.21219899,0.52
38,TIC 38116677,CANDIDATE,1.57771549,3.086
39,TIC 38116677,CANDIDATE,1.5778643,3.02
40,TIC 38116680,CANDIDATE,1.57771549,2.993
41,TIC 56813470,CANDIDATE,13.0113,2.2008
42,TIC 421192026,CANDIDATE,40.70206194,1.621
43,TIC 56760106,CANDIDATE,21.204739,
49,TIC 349456881,CANDIDATE,13.38382,2.2008
50,TIC 349456881,CANDIDATE,13.383629,
51,TIC 147677251,CANDIDATE,11.8951,
52,TIC 173164319,CANDIDATE,40.1401,3.024
53,TIC 443612346,CANDIDATE,7.4433,1.632
54,TIC 66664366,CANDIDATE,2.638,1.6992
55,TIC 56812600,CANDIDATE,27.47083,5.5008
56,TIC 49428482,CANDIDATE,2.8268121,6.8
58,TIC 49417963,CANDIDATE,4.441258,
59,TIC 49417963,CANDIDATE,4.4416421,2.74
60,TIC 49417963,CANDIDATE,4.44044,2.712
