,id_target,disposition,period,duration,koi_time0bk
2,10811496,CANDIDATE,19.89913995,1.7822,175.850252
37,11138155,CANDIDATE,4.959319244,2.22739,172.2585292
58,11818800,CANDIDATE,40.4195037,3.362,173.56469
62,11918099,CANDIDATE,7.2406612,0.558,137.75545
63,9579641,CANDIDATE,3.43591631,3.133,132.6624
84,3115833,CANDIDATE,10.181584004,3.5089,177.141891
92,3453214,CANDIDATE,19.620346923,2.0038,181.881819
112,4544670,CANDIDATE,34.84398644,2.9315,172.633252
118,4936180,CANDIDATE,4.64090031,35.512,173.64638
123,5115978,CANDIDATE,1.028436523,1.8606,170.228582
166,6867155,CANDIDATE,235.9986399,8.2284,208.399822
172,6526710,CANDIDATE,39.74893077,7.3051,172.854644
176,6599919,CANDIDATE,13.61014819,2.594,173.987319
184,6862328,CANDIDATE,119.0207044,8.1405,222.236492
195,7031517,CANDIDATE,12.940668656,2.4845,179.423014
216,7380537,CANDIDATE,2.688899233,2.11275,170.1020904
230,8013419,CANDIDATE,12.732624065,2.2083,176.939054
231,8018547,CANDIDATE,83.92494032,6.7904,236.76334
253,8552202,CANDIDATE,3.886655224,3.1646,169.73814
269,9140402,CANDIDATE,2.494170338,1.1221,170.852848
287,8951215,CANDIDATE,39.4759093,2.968,173.31207
304,9347899,CANDIDATE,9.61731426,3.8692,142.47479
316,2860866,CANDIDATE,90.1240507,11.649,356.23415
318,10460629,CANDIDATE,856.672115,23.144,228.44988
319,10319385,CANDIDATE,0.689210173,1.6169,133.28584
326,11502218,CANDIDATE,3.9886021,1.7376,171.01852
327,11180361,CANDIDATE,0.533059312,1.8621,171.2274419
342,10287723,CANDIDATE,129995.7784,9.408,393.59962
344,10350571,CANDIDATE,17.157236,11.284,133.68951
346,11013201,CANDIDATE,13.118962443,4.3045,261.539434
348,11013201,CANDIDATE,7.82187328,3.8417,123.49907
349,9414417,CANDIDATE,53.5057611,10.5616,172.98304
363,2307199,CANDIDATE,13.4471791,3.0454,132.830555
375,9032900,CANDIDATE,67.5923754,12.249,151.75056
405,2853446,CANDIDATE,7.37290344,2.172,137.60991
407,3942446,CANDIDATE,119.0624882,3.1188,149.22223
409,3554031,CANDIDATE,14.8623076,3.161,354.57297
435,10743597,CANDIDATE,16.15811112,6.049,143.00233
456,3644071,CANDIDATE,1295.362215,28.297,176.10646
458,1431122,CANDIDATE,4.2989201,2.747,132.86187
464,8260218,CANDIDATE,5.714817603,3.14126,355.00831
469,6359320,CANDIDATE,2.83668931,3.031,353.81531
479,3447722,CANDIDATE,1.00861677,0.91,132.109479
486,12105051,CANDIDATE,2.624234833,1.3874,132.304988
489,8240904,CANDIDATE,92.77779,6.64,367.6112
500,3756801,CANDIDATE,422.917678,31.274,448.49648
537,8313667,CANDIDATE,30.5872153,5.3698,162.8842
551,10149023,CANDIDATE,9.95639775,5.615,134.29186
552,10141900,CANDIDATE,6.50327035,2.591,135.26657
553,10141900,CANDIDATE,4.09667624,2.19,133.09833
565,9772531,CANDIDATE,31.201692472,2.15663,183.4076137
582,10295951,CANDIDATE,6.810823723,7.98574,136.04667
621,3329204,CANDIDATE,51.59809554,2.0153,203.979914
622,3230491,CANDIDATE,1500.0,7.109,315.33083
635,2162635,CANDIDATE,1500.1406772,25.727,176.08226
666,7102227,CANDIDATE,0.764017553,1.103,132.2214
668,6837146,CANDIDATE,20.51360192,3.4769,357.49424
670,11122894,CANDIDATE,150.0189511,4.3823,224.685714
675,6607286,CANDIDATE,0.783276173,1.6735,355.94865
676,6607286,CANDIDATE,3.17405898,2.3156,357.05776
694,11075279,CANDIDATE,345.1589354,7.5646,318.307719
696,6607447,CANDIDATE,99.6442783,5.1772,283.236289
716,6441738,CANDIDATE,19.03723442,3.3882,148.55057
721,8616873,CANDIDATE,0.576078683,1.63253,134.107265
741,8494263,CANDIDATE,78.9257421,7.5193,429.37454
744,10928043,CANDIDATE,6.84639884,3.4919,133.76181
746,10794087,CANDIDATE,12.37679312,3.85,143.3787176
807,8813698,CANDIDATE,268.9410974,5.4434,360.070904
809,4074736,CANDIDATE,80.9669561,2.5276,160.97672
812,4274548,CANDIDATE,6.80082032,1.9883,359.17999
821,11336883,CANDIDATE,54.325574,9.86,142.236
822,11336883,CANDIDATE,20.01959599,7.0,150.8362184
830,8631160,CANDIDATE,162.0479502,9.8974,278.880573
843,9202151,CANDIDATE,1.694740233,1.6864,355.357543
846,4760746,CANDIDATE,15.068060768,3.3011,363.549714
851,8804283,CANDIDATE,22.79020351,5.0394,138.68515
852,8804283,CANDIDATE,13.26079792,3.912,139.0988
858,4077526,CANDIDATE,4.45814897,2.867,134.39743
864,9427402,CANDIDATE,6.247030799,1.4848,356.90972
866,3962440,CANDIDATE,700.00298217,7.6525,249.44205
867,3534076,CANDIDATE,272.0868353,2.7145,378.13721
878,4466677,CANDIDATE,42.0370662,6.282,178.25006
879,4466677,CANDIDATE,21.0112068,4.507,132.6336
882,9100484,CANDIDATE,8.75059775,2.8288,358.24233
956,6620003,CANDIDATE,1.714274727,2.06728,133.3158074
970,7363829,CANDIDATE,384.02570682,14.56,335.816169
971,6719086,CANDIDATE,3.014330766,2.4747,357.37948
972,7376983,CANDIDATE,5.644914154,2.2599,356.73699
975,11026304,CANDIDATE,13.35151248,3.6045,363.086742
976,11342550,CANDIDATE,1693.6636225,22.604,524.27995
991,7376983,CANDIDATE,8.74292005,2.6277,358.59286
992,7376983,CANDIDATE,3.64830183,1.9985,355.39128
993,7376983,CANDIDATE,2.345863002,1.6795,354.11185
995,6946199,CANDIDATE,104.8205868,4.4794,374.83154
1010,10867062,CANDIDATE,34.2966363,19.718,143.66728
1049,8046659,CANDIDATE,31.56904354,2.6364,158.29983
1065,9636135,CANDIDATE,2.42150341,2.965,133.83517
