,id_target,disposition,period,duration
1,88863718,CANDIDATE,1.931671,3.18
7,65212867,CANDIDATE,6.9989206,3.953
9,107782586,CANDIDATE,1.9600296,1.842
12,114018671,CANDIDATE,2.4696958,2.3244437
13,427508467,CANDIDATE,0.884182,1.621
15,96246348,CANDIDATE,1.4095043,1.3502669
16,155044736,CANDIDATE,1.3734992,1.6528441
20,341420329,CANDIDATE,5.2340964,3.6909047
24,47384844,CANDIDATE,3.09574,4.475
27,297967252,CANDIDATE,9.683792,2.397578
29,20318757,CANDIDATE,3.2834447,1.384
30,20318757,CANDIDATE,11.0285857,3.164
36,146589986,CANDIDATE,5.664473,3.6459666
39,361413119,CANDIDATE,6.0742782,2.5468064
40,146172354,CANDIDATE,3.7795364,3.238
47,360286627,CANDIDATE,0.7581018,1.078
49,463402815,CANDIDATE,1.0083337,2.2002958
58,317060587,CANDIDATE,9.139804,3.0912936
62,421894914,CANDIDATE,5.3079888,3.1395198
63,323132914,CANDIDATE,51.1710414,6.4793585
64,31553893,CANDIDATE,11.1296402,7.1068241
65,380783252,CANDIDATE,9.4496506,2.021
70,406976746,CANDIDATE,10.0665634,1.981
83,327301957,CANDIDATE,13.9427597,3.7732511
86,369960846,CANDIDATE,1.6062566,1.975922
88,379240073,CANDIDATE,3.164147,1.598864
90,161032923,CANDIDATE,3.965347,0.987454
91,253728991,CANDIDATE,2.98278,3.109528
92,261108236,CANDIDATE,16.3470117,3.2941073
93,322270620,CANDIDATE,12.9802713,2.828721
96,468148930,CANDIDATE,3.7178739,5.4901064
102,193413306,CANDIDATE,1.725841,3.674
106,375223080,CANDIDATE,1.4821401,1.779
109,360630575,CANDIDATE,13.9028391,2.1264429
111,290348383,CANDIDATE,6.4409822,1.8342508
113,318608749,CANDIDATE,20.0734756,4.044
116,351603103,CANDIDATE,2.94308,4.073
117,451599528,CANDIDATE,341.2811281,6.303026
118,274151135,CANDIDATE,10.8681705,2.33
119,384513078,CANDIDATE,11.1149,2.26
120,394561119,CANDIDATE,4.078221,4.8395805
130,304100538,CANDIDATE,5.00999,1.7024171
131,295541511,CANDIDATE,2.2281625,2.015
140,80166433,CANDIDATE,1.54602,0.852
148,198213332,CANDIDATE,0.5860337,0.687
152,154872375,CANDIDATE,8.0277283,4.339
157,89389197,CANDIDATE,1.3206356,1.6000996
159,202563254,CANDIDATE,4.4794071,6.8200511
176,459970307,CANDIDATE,21.7455357,4.281
185,13419950,CANDIDATE,7.3166764,3.255
186,375542276,CANDIDATE,3.0771797,2.393
192,302518439,CANDIDATE,6.7075429,2.125
197,232967440,CANDIDATE,7.0643995,2.421
198,154089169,CANDIDATE,8.9534549,2.709
200,230088370,CANDIDATE,14.0077482,5.759
205,158002130,CANDIDATE,9.686708,2.438
209,233087860,CANDIDATE,5.7484335,1.688
212,372757221,CANDIDATE,2.5941836,0.879
214,112026224,CANDIDATE,3.9687994,1.07
215,278683844,CANDIDATE,5.5411063,2.481
216,278683844,CANDIDATE,10.6917564,2.96
221,147950620,CANDIDATE,2.3106444,1.317
223,69068526,CANDIDATE,5.5376617,2.517
224,92677094,CANDIDATE,4.5960377,4.744
226,99869022,CANDIDATE,3.6714634,2.149
232,467666275,CANDIDATE,1.381238,2.3389349
233,287776397,CANDIDATE,2.3922703,9.0053425
235,364393429,CANDIDATE,2.628249,1.9675699
236,273985865,CANDIDATE,3.4238999,2.1302807
237,273985865,CANDIDATE,10.9830288,3.6811276
238,273985865,CANDIDATE,17.726449,3.4404719
239,30037565,CANDIDATE,40.7198053,4.3483876
242,50312495,CANDIDATE,18.1663638,2.7438885
243,389924075,CANDIDATE,105.5850893,11.6068811
245,451606970,CANDIDATE,19.1805928,3.763
246,453260209,CANDIDATE,1.2124484,0.9678469
247,141527965,CANDIDATE,4.5539839,7.3539686
248,248092710,CANDIDATE,41.4856125,6.6899368
249,294781547,CANDIDATE,13.7736662,3.0131516
250,294981566,CANDIDATE,1.9142262,3.315
253,349095149,CANDIDATE,91.682998,8.6190789
