loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
1,10797460,K00752.01,CONFIRMED,9.488035570,2455003.539,2.95750,11111111111111111000000000000000
2,10797460,K00752.02,CONFIRMED,54.418382700,2454995.514,4.50700,11111111111111111000000000000000
3,10811496,K00753.01,CANDIDATE,19.899139950,2455008.850,1.78220,11111101110111011000000000000000
4,10848459,K00754.01,FALSE POSITIVE,1.736952453,2455003.308,2.40641,11111110111011101000000000000000
5,10854555,K00755.01,CONFIRMED,2.525591777,2455004.596,1.65450,01111111111111111000000000000000
6,10872983,K00756.01,CONFIRMED,11.094320540,2455004.201,4.59450,01111101110111011000000000000000
7,10872983,K00756.02,CONFIRMED,4.134435120,2455005.979,3.14020,01111101110111011000000000000000
8,10872983,K00756.03,CONFIRMED,2.566588970,2455012.554,2.42900,01111101110111011000000000000000
9,6721123,K00114.01,FALSE POSITIVE,7.361789580,2454965.251,5.02200,11111111111111111000000000000000
10,10910878,K00757.01,CONFIRMED,16.068646740,2455006.622,3.53470,11111110111011101000000000000000
11,11446443,K00001.01,CONFIRMED,2.470613377,2454955.763,1.74319,11111110111011101000000000000000
12,10666592,K00002.01,CONFIRMED,2.204735417,2454954.359,3.88864,11111111111111111000000000000000
13,6922244,K00010.01,CONFIRMED,3.522498429,2454954.119,3.19843,11111111111111111000000000000000
14,10984090,K00112.02,CONFIRMED,3.709214104,2454966.983,2.63020,11111111111111111000000000000000
15,10419211,K00742.01,FALSE POSITIVE,11.521446064,2455003.840,3.63990,11111101110111011000000000000000
16,10464078,K00743.01,FALSE POSITIVE,19.403937760,2455005.484,12.21550,11111111111111111000000000000000
17,10480982,K00744.01,FALSE POSITIVE,19.221388942,2455017.552,4.79843,11111101110111011000000000000000
18,10485250,K00745.01,FALSE POSITIVE,16.469837740,2455013.882,9.43780,01111101110111011000000000000000
19,10526549,K00746.01,CONFIRMED,9.273581730,2455006.258,3.28750,11111111111111111000000000000000
20,10583066,K00747.01,CONFIRMED,6.029303290,2455004.603,1.58210,11111111111111111000000000000000
21,10583180,K00748.01,FALSE POSITIVE,2.696370652,2455003.738,3.61290,11111111111111111000000000000000
22,10601284,K00749.01,CONFIRMED,5.349553819,2455004.807,3.02780,11111111111111111000000000000000
23,10601284,K00749.02,CONFIRMED,3.941052210,2454969.087,2.59840,11111111111111111000000000000000
24,10601284,K00749.03,CONFIRMED,8.109048070,2454965.803,3.59600,11111111111111111000000000000000
25,2306756,K00113.01,FALSE POSITIVE,386.603052800,2454999.342,6.80570,
26,10662202,K00750.01,CONFIRMED,21.676991930,2455004.536,3.45550,11111111111111111000000000000000
27,10682541,K00751.01,CONFIRMED,4.996779680,2455004.742,2.17170,01111101110111011000000000000000
28,11460018,K00769.01,CONFIRMED,4.280963604,2455004.897,2.87500,11111111111111111000000000000000
29,11463211,K00770.01,FALSE POSITIVE,1.506354090,2455003.998,1.51550,11111111111111111000000000000000
30,11465813,K00771.01,FALSE POSITIVE,670.645531000,2455042.044,53.41200,11100011111111111000000000000000
31,11493732,K00772.01,FALSE POSITIVE,61.256362800,2455006.838,7.63300,11100010111011101000000000000000
32,11507101,K00773.01,CONFIRMED,38.377548600,2455005.820,5.58800,11111111111111111000000000000000
33,10910878,K00757.02,CONFIRMED,41.197255020,2454998.004,4.62970,11111110111011101000000000000000
34,10910878,K00757.03,CONFIRMED,6.252962249,2455004.301,2.58190,11111110111011101000000000000000
35,10987985,K00758.01,CONFIRMED,16.013084190,2455009.361,3.25540,11101101110111011000000000000000
36,11018648,K00759.01,CONFIRMED,32.628766720,2455027.102,4.79710,11111110111011101000000000000000
37,11018648,K00759.02,CONFIRMED,91.773286200,2455026.838,6.47300,11111110111011101000000000000000
38,11138155,K00760.01,CANDIDATE,4.959319244,2455005.259,2.22739,11111111111111111000000000000000
39,11152159,K00761.01,FALSE POSITIVE,2.701287801,2455003.696,3.38270,01111101110111011000000000000000
40,11153539,K00762.01,CONFIRMED,4.498765110,2455004.349,3.73620,11111101110111011000000000000000
41,11242721,K00763.01,FALSE POSITIVE,19.651209505,2455012.402,5.25140,01101111111111111000000000000000
42,9579641,K00115.01,CONFIRMED,5.412203927,2454966.143,2.94720,11111111111111111000000000000000
43,11304958,K00764.01,CONFIRMED,41.439586620,2455041.932,10.59890,11111111111111111000000000000000
44,11391957,K00765.01,CONFIRMED,8.353895230,2455004.633,2.25140,11111110111011101000000000000000
45,11403044,K00766.01,CONFIRMED,4.125543472,2455002.753,3.17440,01111111111111111000000000000000
46,11414511,K00767.01,CONFIRMED,2.816504904,2455003.968,2.50587,11111111111111111000000000000000
47,11442465,K00768.01,FALSE POSITIVE,33.933734470,2455019.676,14.56100,11111110111011101000000000000000
48,12110942,K00786.01,CONFIRMED,3.689920099,2455003.366,2.65570,11111111111111111000000000000000
49,12366084,K00787.01,CONFIRMED,4.431238488,2455004.015,3.15000,11111111111111111000000000000000
50,12366084,K00787.02,CONFIRMED,11.379369860,2454966.850,2.62550,11111111111111111000000000000000
51,12404086,K00788.01,CONFIRMED,26.394328970,2455009.055,3.57300,11111111111111111000000000000000
52,8395660,K00116.01,CONFIRMED,13.570782810,2454969.279,3.35390,11111111111111111000000000000000
53,9579641,K00115.02,CONFIRMED,7.125943870,2454972.005,3.00140,11111111111111111000000000000000
54,11656840,K00774.01,FALSE POSITIVE,7.442652004,2455002.972,2.30780,11111111111111111000000000000000
55,11754553,K00775.01,CONFIRMED,16.384899880,2455005.728,3.02490,11111110111011101000000000000000
56,11754553,K00775.02,CONFIRMED,7.877416300,2455009.376,2.08050,11111110111011101000000000000000
57,11754553,K00775.03,CONFIRMED,36.445400100,2454984.601,4.00700,11111110111011101000000000000000
58,11812062,K00776.01,CONFIRMED,3.728732147,2455004.793,2.68300,11111111111111111000000000000000
59,11818800,K00777.01,CANDIDATE,40.419503700,2455006.565,3.36200,11111111111111111000000000000000
60,11853255,K00778.01,CONFIRMED,2.243380573,2455003.679,1.11960,11111110111011101000000000000000
61,11909839,K00779.01,FALSE POSITIVE,10.405998015,2455010.197,6.50360,01101111111111111000000000000000
62,11918099,K00780.01,CONFIRMED,2.337437946,2455004.762,1.99820,11111111111111111000000000000000
63,11918099,K00780.02,CANDIDATE,7.240661200,2454970.755,0.55800,11111111111111111000000000000000
